codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2022-07-173,2022-07-17,2022,00:00,MADRUGADA (00-05),RIMAC,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,SI
A-2022-07-171,2022-07-18,2022,04:30,MADRUGADA (00-05),VILLA EL SALVADOR,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-170,2022-07-19,2022,20:00,NOCHE (18-23),SANTA ANITA,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-169,2022-07-20,2022,11:30,MANANA (06-11),SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-07-168,2022-07-23,2022,16:00,TARDE (12-17),CARABAYLLO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-07-165,2022-07-24,2022,17:00,TARDE (12-17),SANTA ROSA,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-07-164,2022-07-24,2022,20:00,NOCHE (18-23),VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-07-161,2022-07-26,2022,14:05,TARDE (12-17),SAN MARTIN DE PORRES,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-07-275,2022-07-27,2022,11:50,MANANA (06-11),LURIN,URBANA,CARRETERA,CHOQUE,1,0,2,NO,NO
A-2022-07-162,2022-07-27,2022,22:30,NOCHE (18-23),SAN MIGUEL,URBANA,OTRO,ATROPELLO,1,1,2,SI,NO
A-2022-07-163,2022-07-28,2022,16:20,TARDE (12-17),RIMAC,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-160,2022-07-29,2022,05:40,MADRUGADA (00-05),CARABAYLLO,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-276,2022-07-31,2022,22:50,NOCHE (18-23),LURIN,URBANA,CARRETERA,CHOQUE,2,6,2,NO,NO
A-2022-08-1,2022-08-02,2022,06:35,MANANA (06-11),CALLAO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-08-170,2022-08-04,2022,15:00,TARDE (12-17),LA VICTORIA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-08-2,2022-08-04,2022,23:00,NOCHE (18-23),VENTANILLA,URBANA,CARRETERA,CAÍDA DE PASAJERO,1,1,1,NO,SI
A-2022-08-169,2022-08-05,2022,18:50,NOCHE (18-23),SANTA ANITA,URBANA,AVENIDA,CHOQUE,1,0,2,NO,SI
A-2022-08-168,2022-08-07,2022,22:50,NOCHE (18-23),CHACLACAYO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-167,2022-08-08,2022,08:30,MANANA (06-11),ANCON,RURAL,CARRETERA,DESPISTE,1,0,1,NO,NO
A-2022-08-102,2022-08-09,2022,06:15,MANANA (06-11),CALLAO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-165,2022-08-10,2022,06:45,MANANA (06-11),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-08-166,2022-08-10,2022,07:30,MANANA (06-11),PUNTA HERMOSA,RURAL,AVENIDA,CHOQUE,2,0,2,NO,NO
A-2022-08-163,2022-08-11,2022,00:05,MADRUGADA (00-05),LOS OLIVOS,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-08-164,2022-08-11,2022,04:30,MADRUGADA (00-05),CHORRILLOS,URBANA,AVENIDA,CHOQUE,1,1,2,NO,NO
A-2022-08-162,2022-08-12,2022,19:20,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,JIRÓN,CHOQUE FUGA,1,0,2,SI,NO
A-2022-08-160,2022-08-13,2022,17:15,TARDE (12-17),SANTA ANITA,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,SI
A-2022-08-155,2022-08-13,2022,18:00,NOCHE (18-23),CARABAYLLO,URBANA,AVENIDA,CHOQUE,1,3,2,NO,NO
A-2022-08-161,2022-08-14,2022,05:20,MADRUGADA (00-05),CARABAYLLO,URBANA,AVENIDA,DESPISTE,1,1,2,NO,SI
A-2022-08-158,2022-08-14,2022,05:30,MADRUGADA (00-05),VILLA EL SALVADOR,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-157,2022-08-14,2022,10:30,MANANA (06-11),COMAS,URBANA,AVENIDA,VOLCADURA,1,0,1,SI,NO
A-2022-08-159,2022-08-14,2022,22:20,NOCHE (18-23),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-08-156,2022-08-15,2022,00:20,MADRUGADA (00-05),MAGDALENA DEL MAR,URBANA,OTRO,DESPISTE,1,1,1,NO,SI
A-2022-08-154,2022-08-17,2022,06:40,MANANA (06-11),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,CHOQUE,2,0,2,NO,NO
A-2022-08-153,2022-08-19,2022,03:40,MADRUGADA (00-05),LOS OLIVOS,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-08-150,2022-08-19,2022,15:50,TARDE (12-17),ATE,URBANA,CALLE,CAÍDA DE PASAJERO,1,0,1,NO,NO
A-2022-08-151,2022-08-20,2022,18:20,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-08-152,2022-08-21,2022,18:00,NOCHE (18-23),LOS OLIVOS,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-08-212,2022-08-23,2022,08:00,MANANA (06-11),VENTANILLA,URBANA,AVENIDA,VOLCADURA,1,0,1,NO,NO
A-2022-08-149,2022-08-23,2022,13:10,TARDE (12-17),EL AGUSTINO,URBANA,CARRETERA,CHOQUE,1,0,2,SI,NO
A-2022-08-148,2022-08-25,2022,09:45,MANANA (06-11),ATE,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-274,2022-08-26,2022,04:25,MADRUGADA (00-05),SAN MARTIN DE PORRES,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-08-147,2022-08-26,2022,18:40,NOCHE (18-23),ANCON,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,NO,NO
A-2022-08-146,2022-08-26,2022,21:20,NOCHE (18-23),VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-08-145,2022-08-27,2022,06:30,MANANA (06-11),COMAS,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-08-144,2022-08-27,2022,07:45,MANANA (06-11),SANTIAGO DE SURCO,URBANA,CARRETERA,CHOQUE,1,0,4,NO,NO
A-2022-08-143,2022-08-28,2022,06:20,MANANA (06-11),LURIN,URBANA,CARRETERA,CHOQUE,1,0,2,NO,NO
A-2022-08-141,2022-08-29,2022,05:20,MADRUGADA (00-05),PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-142,2022-08-29,2022,15:40,TARDE (12-17),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-08-139,2022-08-30,2022,21:30,NOCHE (18-23),LOS OLIVOS,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-08-140,2022-08-30,2022,23:40,NOCHE (18-23),PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-09-158,2022-09-02,2022,01:45,MADRUGADA (00-05),LIMA,URBANA,JIRÓN,DESPISTE,1,0,1,NO,NO
A-2022-09-157,2022-09-03,2022,16:30,TARDE (12-17),LA VICTORIA,URBANA,VIA EXPRESA,CHOQUE,1,1,2,NO,SI
A-2022-09-155,2022-09-04,2022,02:00,MADRUGADA (00-05),LA VICTORIA,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-09-156,2022-09-04,2022,02:10,MADRUGADA (00-05),PUNTA HERMOSA,RURAL,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-09-154,2022-09-05,2022,11:00,MANANA (06-11),COMAS,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-09-153,2022-09-08,2022,05:00,MADRUGADA (00-05),SANTIAGO DE SURCO,URBANA,CARRETERA,CHOQUE CON OBJETO FIJO,1,0,1,NO,SI
A-2022-09-152,2022-09-08,2022,08:30,MANANA (06-11),VILLA EL SALVADOR,URBANA,AVENIDA,CAÍDA DE PASAJERO,1,0,1,NO,SI
A-2022-09-151,2022-09-09,2022,04:20,MADRUGADA (00-05),VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-09-274,2022-09-10,2022,01:20,MADRUGADA (00-05),CARABAYLLO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
