codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-11-170,P-2021-11-170-1-1,CONDUCTOR,FALLECIDO,MASCULINO,22,MOTOCICLETA
A-2021-11-170,P-2021-11-170-1-2,PASAJERO,LESIONADO,FEMENINO,23,MOTOCICLETA
A-2021-11-179,P-2021-11-179-1-1,CONDUCTOR,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-11-179,P-2021-11-179-1-2,PEATÓN,FALLECIDO,MASCULINO,22,VEHICULO NO IDENTIFICADO
A-2021-11-180,P-2021-11-180-1-1,CONDUCTOR,ILESO,MASCULINO,43,AUTOMÓVIL
A-2021-11-180,P-2021-11-180-1-2,PEATÓN,FALLECIDO,MASCULINO,26,AUTOMÓVIL
A-2021-11-185,P-2021-11-185-1-1,CONDUCTOR,FALLECIDO,MASCULINO,30,BICICLETA
A-2021-11-186,P-2021-11-186-1-1,CONDUCTOR,ILESO,MASCULINO,30,AUTOMÓVIL
A-2021-11-186,P-2021-11-186-1-2,PASAJERO,FALLECIDO,MASCULINO,37,AUTOMÓVIL
A-2021-11-186,P-2021-11-186-2-1,CONDUCTOR,ILESO,FEMENINO,45,AUTOMÓVIL
A-2021-11-187,P-2021-11-187-1-1,SIN CONDUCTOR,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-11-187,P-2021-11-187-1-2,PEATÓN,FALLECIDO,MASCULINO,88,VEHICULO NO IDENTIFICADO
A-2021-11-188,P-2021-11-188-1-1,CONDUCTOR,ILESO,MASCULINO,34,AUTOMÓVIL
A-2021-11-188,P-2021-11-188-2-1,CONDUCTOR,ILESO,MASCULINO,34,STATION WAGON
A-2021-11-188,P-2021-11-188-2-2,PEATÓN,FALLECIDO,FEMENINO,71,STATION WAGON
A-2021-11-189,P-2021-11-189-1-1,CONDUCTOR,ILESO,MASCULINO,30,CAMIÓN
A-2021-11-189,P-2021-11-189-1-2,PEATÓN,FALLECIDO,MASCULINO,44,CAMIÓN
A-2021-11-190,P-2021-11-190-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,TRIMOTO PASAJERO
A-2021-11-190,P-2021-11-190-1-2,PEATÓN,FALLECIDO,MASCULINO,77,TRIMOTO PASAJERO
A-2021-11-191,P-2021-11-191-1-1,CONDUCTOR,ILESO,MASCULINO,53,CAMIONETA RURAL
A-2021-11-191,P-2021-11-191-1-2,PASAJERO,FALLECIDO,FEMENINO,,CAMIONETA RURAL
A-2021-11-191,P-2021-11-191-1-3,PASAJERO,LESIONADO,FEMENINO,25,CAMIONETA RURAL
A-2021-11-191,P-2021-11-191-1-4,PASAJERO,LESIONADO,MASCULINO,24,CAMIONETA RURAL
A-2021-11-192,P-2021-11-192-1-1,CONDUCTOR,ILESO,MASCULINO,59,CAMIONETA RURAL
A-2021-11-192,P-2021-11-192-1-2,PASAJERO,FALLECIDO,FEMENINO,68,CAMIONETA RURAL
A-2021-11-192,P-2021-11-192-1-3,PASAJERO,LESIONADO,FEMENINO,46,CAMIONETA RURAL
A-2021-11-192,P-2021-11-192-1-4,PASAJERO,LESIONADO,FEMENINO,52,CAMIONETA RURAL
A-2021-11-192,P-2021-11-192-2-1,CONDUCTOR,ILESO,MASCULINO,42,REMOLCADOR-SEMIREMOLQUE
A-2021-11-8,P-2021-11-8-1-1,CONDUCTOR,ILESO,MASCULINO,35,ÓMNIBUS
A-2021-11-8,P-2021-11-8-1-2,PEATÓN,FALLECIDO,MASCULINO,52,ÓMNIBUS
A-2021-12-116,P-2021-12-116-1-1,CONDUCTOR,ILESO,MASCULINO,37,STATION WAGON
A-2021-12-116,P-2021-12-116-2-1,CONDUCTOR,ILESO,FEMENINO,46,AUTOMÓVIL
A-2021-12-116,P-2021-12-116-2-2,PEATÓN,FALLECIDO,FEMENINO,50,AUTOMÓVIL
A-2021-12-117,P-2021-12-117-1-1,CONDUCTOR,ILESO,MASCULINO,67,OTRO
A-2021-12-117,P-2021-12-117-1-2,PEATÓN,FALLECIDO,MASCULINO,,OTRO
A-2021-12-118,P-2021-12-118-1-1,CONDUCTOR,ILESO,MASCULINO,28,MOTOCICLETA
A-2021-12-118,P-2021-12-118-1-2,PEATÓN,FALLECIDO,MASCULINO,41,MOTOCICLETA
A-2021-12-119,P-2021-12-119-1-1,CONDUCTOR,ILESO,MASCULINO,42,CAMIÓN
A-2021-12-119,P-2021-12-119-2-1,CONDUCTOR,FALLECIDO,FEMENINO,,TRIMOTO PASAJERO
A-2021-12-14,P-2021-12-14-1-1,CONDUCTOR,FALLECIDO,MASCULINO,33,MOTOCICLETA
