"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"9429","IMPORTACIONES Y EXPORTACIONES SELVA  S.A.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","COMAS","AV. TUPAC AMARU ESQ. CON AV. METROPOLITANA","2026-08-08"
"9430","INVERSIONES GENERALES GAMID E.I.R.L.","EE.SS con GNV","CUSCO","LA CONVENCION","SANTA ANA","BALNEARIO SAMBARAY CARRETERA QUILLABAMBA - SAMBARAY S/N.","2026-08-01"
"9432","ENERGY OIL COMPANY S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","PUENTE PIEDRA","CARRETERA PANAMERICANA NORTE KM. 33.5","2026-08-09"
"9433","GRIFOS UNIDOS E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","SAN ROMAN","JULIACA","KM. 4.2 CARRETERA JULIACA - CUSCO","2026-08-06"
"94336","CORPORACION MEGUSAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","COMAS","AV. REVOLUCION CON AV. MARIA PARADO DE BELLIDO MZ. M, LOTES 34 Y 35 AA.HH. COLLIQUE V ZONA","2026-08-08"
"9434","INVERSIONES HECA S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","HUAURA","SANTA MARIA","AV. TUPAC AMARU Nº 598","2026-08-08"
"9436","CESAR ANGELES MILLONES","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","CHICLAYO","ETEN PUERTO","PROLONGACION DIEGO FERRE Nº 849","2026-08-07"
"9440","FILSE S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","COMAS","AV. METROPOLITANA N° 1905","2026-08-08"
"94408","COMBUSTIBLES EL PUEBLO E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","LAMBAYEQUE","JAYANCA","CARRETERA PANAMERICANA NORTE KM 32 + 628","2026-08-05"
"94418","SERVICENTRO TACNA 2","GASOCENTRO DE GLP CON ESTABLECIMIENTO DE VENTA AL PUBLICO DE GNV","LIMA","LIMA","LA VICTORIA","AV. NICOLAS AYLLON MZ. 306, LOTES 1, 2 Y 3. ESQ. CON AV. MEXICO, URB. SAN PABLO","2026-08-09"
"94440","PALOMINO MARTINEZ JACINTO","ESTACIÓN DE SERVICIOS / GRIFOS","HUANCAVELICA","TAYACAJA","AHUAYCHA","CALLE REAL S/N","2026-08-07"
"94446","PAMELA MILAGROS VASQUEZ ROMERO DE ESPINOZA","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","HUAROCHIRI","SAN ANTONIO","AV. TUPAC AMARU, COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22. PAMPAS DE CANTO GRANDE, MZ. CQ LOTE 1","2026-08-08"
"94447","ESTACIONES DE SERVICIOS OCAÑA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","SAN IGNACIO","SAN IGNACIO","CARRETERA SAN IGNACIO - NAMBALLE KM. 1.5 - BARRIO LA CUEVA","2026-08-07"
"94455","REYES ELMER RAMIREZ CRUZ","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","SAN IGNACIO","LA COIPA","AV. MARTIN CUESTA S/N","2026-08-07"
"9446","ASIA GRIFOS Y SERVICIOS GENERALES S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","CAÑETE","ASIA","CARRETERA PANAMERICANA SUR KM. 97.5","2026-08-08"
"94465","GRIFO'S SAMIRA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","JAEN","BELLAVISTA","CARRETERA JAEN - SAN IGNACIO KM. 40 ENTRADA A CPM LA FLORESTA","2026-08-05"
"9447","ES SANCHEZ CERRO","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","PIURA","PIURA","PIURA","AV. SANCHEZ CERRO MZ. 224, LOTE 01-A, ZONA INDUSTRIAL ANTIGUA","2026-08-09"
"94476","MULTISERVICIOS ECOGAS S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","PUCUSANA","CARRETERA PANAMERICANA SUR KM. 56.80","2026-08-08"
"94557","ESTACION DE SERVICIOS  LA LUZ","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","HUAYLAS","CARAZ","CARRETERA CARAZ-HUALLANCA S/N, U.C. 70440, SECTOR CUMPAYHUARA, BARRIO ICHOC HUAYLAS","2026-08-08"
"94582","MULTICENTRO ESPERANZA E.I.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","FERREÑAFE","PITIPO","AV. REAL S/N ENTRADA AL CENTRO POBLADO BATANGRANDE","2026-08-08"
"94614","GRIFO FLOTANTE TITIKAKA E.I.R.L.","GRIFOS FLOTANTES","PUNO","PUNO","PUNO","MUELLE TURISTICO DE PUNO","2026-08-06"
"9462","COESTI S.A","EE.SS con GNV","LIMA","LIMA","ATE","AV. NICOLAS AYLLÓN N° 2162","2026-08-08"
"9464","COESTI S.A","EE.SS con GLP y GNV","LIMA","LIMA","LA VICTORIA","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","2026-08-08"
"94659","GRIFOS L.V. E.I.R.L","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","CAJAMARCA","NAMORA","JR. EL PORVENIR S/N, CASERIO OJO DE AGUA","2026-07-31"
"9466","ESTACIÓN OIL STAR","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","COMAS","AV. HEROES DEL ALTO CENEPA (ANTES AUTOPISTA CHILLON TRAPICHE) LOTE 57 EX FUNDO CHACRA CERRO","2026-08-05"
"94684","DUOGAS S.A.","EE.SS con GLP y GNV","LIMA","LIMA","BREÑA","AV. ARICA N° 580 - 590 ESQ. CON JR. JORGE CHAVEZ","2026-08-08"
"9470","COESTI  EL VELOZ","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","AREQUIPA","AREQUIPA","CERRO COLORADO","AV. AVIACIÓN KM. 6.5","2026-08-09"
"94702","COMFERNORT E.I.R.L","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","CHICLAYO","JOSE LEONARDO ORTIZ","AV. ARGENTINA NRO. 2600 P.J. LUJAN","2026-08-07"
"9471","GRIFO LOS TUMPIS SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","TUMBES","TUMBES","TUMBES","AV. UNIVERSITARIA Nº 672 AA.HH. PAMPA GRANDE","2026-08-07"
"9472","SERVICELIB SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LA LIBERTAD","PACASMAYO","PACASMAYO","ESQUINA AV. LEONCIO PRADO Y GONZALO UGAS","2026-08-09"
"9473","REPSOL COMERCIAL S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","MIRAFLORES","AV. AREQUIPA 5080 ESQ. CON ENRIQUE PALACIOS","2026-08-09"
"94735","ES ASIA  COESTI PRIMAX","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","CAÑETE","ASIA","CARRETERA PANAMERICANA SUR KM 97.5 LOTE 30, FUNDO LA QUERENCIA","2026-08-09"
