codigo_siniestro,fecha_siniestro,hora_siniestro,clase_siniestro,cantidad_de_fallecidos,cantidad_de_lesionados,cantidad_de_vehiculos_danados,departamento,provincia,distrito,zona,tipo_de_via,red_vial,cod_carretera,coordenadas_latitud,coordenadas_longitud,condicionclimatica,zonificacion,caracteristicas_de_via,perfil_longitudinal_via,superficie_de_calzada,existe_senal_vertical,clasificacionde_la_senal_vertical_no_1,clasificacionde_la_senal_vertical_no_2,existe_senal_horizontal,causa_factor_principal,causa_especifica
A-2023-07-128,2023-07-04,18:30,ATROPELLO,1,0,,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.19904625,-76.9973279,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2023-07-129,2023-07-05,10:40,ATROPELLO,1,0,,LIMA,LIMA,LA VICTORIA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-12.057922755933795,-77.0172660988245,DESPEJADO,RESIDENCIAL,CURVA,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-130,2023-07-06,05:50,ATROPELLO,1,0,,LIMA,LIMA,CARABAYLLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.871983,-77.014637,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-131,2023-07-06,17:00,ATROPELLO,1,1,,LIMA,LIMA,RIMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.01505771,-77.05182867,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-132,2023-07-08,21:30,VOLCADURA,1,0,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.01751258,-77.00214591,DESPEJADO,COMERCIAL,INTERSECCIÓN,INCLINADA,ASFALTADA,SI,INFORMATIVA (I),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-133,2023-07-09,01:30,ATROPELLO,1,0,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.008243196948255,-77.01052566985119,DESPEJADO,COMERCIAL,CURVA,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-07-134,2023-07-09,07:45,DESPISTE,5,28,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.91279662,-77.0033858,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-135,2023-07-12,02:45,DESPISTE,1,1,,LIMA,LIMA,INDEPENDENCIA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.98102546742494,-77.06550025297803,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-137,2023-07-12,20:30,DESPISTE,1,0,,LIMA,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.23976275180896,-76.91212091224831,DESPEJADO,COMERCIAL,ÓVALO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-07-138,2023-07-13,00:40,CHOQUE FUGA,1,0,,LIMA,LIMA,CARABAYLLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.86219135,-77.05585282,DESPEJADO,COMERCIAL,INTERSECCIÓN,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
